	PC1	PC2	PC3
Abramites_hypselonotus	-0.013186456	0.063506606	-0.06312958
Acanthicus_adonis	-0.157591584	-0.029142934	0.098043574
Acanthicus_hystrix	-0.181360977	-0.011970637	0.140779827
Acanthobunocephalus_nicoi	-0.126620432	0.026544121	-0.004027982
Acanthodoras_cataphractus	-0.141315011	-0.073198534	0.034527037
Acanthodoras_spinosissimus	-0.118718743	-0.006164944	-0.00707776
Acanthopoma_annectens	-0.166267355	0.104588887	-0.023465873
Acentronichthys_leptos	-0.120779874	0.063570306	-0.013163118
Acestridium_discus	0.105504939	-0.113054143	0.052900787
Acestridium_gymnogaster	-0.181353856	-0.178697432	-0.052485279
Acestridium_martini	0.092171041	-0.067278749	0.066213786
Acestridium_scutatum	-0.181353856	-0.178697432	-0.052485279
Acestridium_triplax	-0.166176175	-0.102806889	0.021435351
Acestrocephalus_acutus	0.108689747	0.062313901	-0.00992539
Acestrocephalus_maculosus	0.106710674	0.048996227	-0.023938394
Acestrocephalus_nigrifasciatus	0.10770246	0.056706584	-0.015914181
Acestrocephalus_pallidus	0.105973981	0.035194321	-0.037606903
Acestrocephalus_sardina	0.112327366	0.072150017	-0.000795568
Acestrocephalus_stigmatus	0.107953115	0.059408104	-0.012675527
Acinocheirodon_melanogramma	0.095802738	-0.077970626	-0.016769184
Acnodon_normani	0.08869446	-0.068745762	0.033877965
Acnodon_oligacanthus	0.089212364	-0.0696035	0.059735877
Acnodon_senai	0.090965449	-0.073644786	0.060932621
Adontosternarchus_balaenops	0.096829331	0.054831886	0.029370625
Adontosternarchus_clarkae	0.097006458	0.057685903	0.031756331
Adontosternarchus_devenanzii	0.094112155	0.041715426	0.015802726
Adontosternarchus_duartei	0.092322512	0.040245	0.007763502
Adontosternarchus_nebulosus	-0.130395351	0.067293246	0.009918036
Adontosternarchus_sachsi	0.104651682	0.07732523	0.050004908
Agamyxis_albomaculatus	-0.118259928	-0.003482346	-0.003375453
Agamyxis_pectinifrons	-0.119231582	-0.003660891	-0.001861149
Ageneiosus_atronasus	-0.01862455	0.144082478	-0.077364691
Ageneiosus_brevis	-0.009898604	0.148523253	-0.073466764
Ageneiosus_inermis	-0.025241595	0.254027238	-0.032111933
Ageneiosus_militaris	-0.021453604	0.199289263	-0.044245868
Ageneiosus_pardalis	-0.019144205	0.159762655	-0.08767554
Ageneiosus_piperatus	-0.007318411	0.085203937	-0.108583089
Ageneiosus_polystictus	-0.022553468	0.227123331	-0.035261462
Ageneiosus_ucayalensis	-0.021262917	0.192304545	-0.04330872
Ageneiosus_uranophthalmus	-0.163288683	0.008238261	-0.147963512
Ageneiosus_vittatus	-0.010544569	0.166487719	-0.062962277
Agoniates_anchovia	0.086104232	0.002970255	0.009143736
Agoniates_halecinus	0.088203588	0.01285381	0.025994084
Aguarunichthys_inpai	0.131835821	0.134270057	0.072337507
Aguarunichthys_tocantinsensis	0.12205493	0.116185732	0.057625336
Amaralia_hypsiura	-0.128603772	0.02501886	-0.031663003
Amazonspinther_dalmata	0.114229042	-0.056282684	-0.059844321
Amblydoras_affinis	-0.119728529	-0.026640657	-0.040579587
Amblydoras_monitor	-0.117081103	-0.016725486	-0.029369258
Amblydoras_nauticus	-0.116256835	-0.011403464	-0.026137508
Ammocryptocharax_elegans	0.095462789	0.022888517	-0.014063876
Ammocryptocharax_minutus	0.095521104	-0.004817154	-0.024469004
Ammocryptocharax_vintonae	0.101131466	0.058399626	-0.002123244
Ammoglanis_diaphanus	-0.129110028	0.017282249	-0.051556884
Ammoglanis_pulex	0.089323206	0.011051414	0.014247359
Anadoras_grypus	-0.11656688	-0.010571083	-0.016986238
Anadoras_regani	-0.1169718	-0.01097928	-0.018859936
Anadoras_weddellii	-0.120316878	-0.014897599	-0.016221058
Ancistrus_abilhoai	0.089233404	-0.070712393	0.064307963
Ancistrus_agostinhoi	0.088820454	-0.071357833	0.056605235
Ancistrus_aguaboensis	-0.137952029	-0.035733818	0.038094879
Ancistrus_brevipinnis	-0.141050033	-0.037009376	0.048995271
Ancistrus_cirrhosus	-0.149726106	-0.079021701	0.031936206
