	size	qb	troplvl	lm	lwr	pos
Abramites_hypselonotus	11.5	14.9	2.93	9.4	3.03	pelagic
Acanthicus_adonis	20.6	11.8	2	13.2	3.1	demersal
Acanthicus_hystrix	53	6.7	2	30.6	3.1	demersal
Acanthobunocephalus_nicoi	8.609302	24.804143	3.01	6.8028	3.12	demersal
Acanthodoras_cataphractus	11.5	42.1	2	7.9	3.03	demersal
Acanthodoras_spinosissimus	13.7	37.9	2.82	9.2	3.03	demersal
Acanthopoma_annectens	12	36	4.84	8.2	3.04	demersal
Acentronichthys_leptos	9.1	19.4	3.42	6.4	3.04	demersal
Acestridium_discus	6.7	58.1	2	4.9	3.17	benpel
Acestridium_gymnogaster	2.5049	161.6	2	0.9	3.04	demersal
Acestridium_martini	6.7	23.2	2	4.9	3.04	benpel
Acestridium_scutatum	2.5049	161.6	2	0.9	3.04	demersal
Acestridium_triplax	5.6	57.2	2	4.2	3.17	demersal
Acestrocephalus_acutus	10.4	39.5	3.82	7.2	3.05	benpel
Acestrocephalus_maculosus	8.083689	46.2	3.7	5.7	3.05	benpel
Acestrocephalus_nigrifasciatus	9.3	42.1	3.77	6.5	3.05	benpel
Acestrocephalus_pallidus	6.1	54.5	3.58	4.5	3.05	benpel
Acestrocephalus_sardina	13.5	38.2	3.93	9.1	3.05	benpel
Acestrocephalus_stigmatus	9.8	40.6	3.79	6.9	3.05	benpel
Acinocheirodon_melanogramma	3.8	72.2	2.52	3	3.04	benpel
Acnodon_normani	13.5	52	2.31	9.1	3.05	benpel
Acnodon_oligacanthus	11.540333	36.347167	2.09	7.94925	3.05	benpel
Acnodon_senai	13.2	38.7	2.03	8.9	3.04	benpel
Adontosternarchus_balaenops	20.3	26.3	3.29	15.7	3.11	benpel
Adontosternarchus_clarkae	15.18	12.6	3.26	12.1	3.11	benpel
Adontosternarchus_devenanzii	15.18	31.5	3.26	12.1	3.11	benpel
Adontosternarchus_duartei	15.1	27.8	3.26	12	3.04	benpel
Adontosternarchus_nebulosus	17.74	25.1	3.28	14	3.11	demersal
Adontosternarchus_sachsi	26.06	9	3.32	19.7	3.11	benpel
Agamyxis_albomaculatus	11.244837	31.08976	2.81	7.7711	3.03	demersal
Agamyxis_pectinifrons	15	35.8	2.81	10	3.03	demersal
Ageneiosus_atronasus	12	16.3	3.52	8.2	3.14	pelagic
Ageneiosus_brevis	16	13.8	3.59	10.6	3.04	pelagic
Ageneiosus_inermis	47.5	6	3.98	33.6	3.19	pelagic
Ageneiosus_militaris	30	7.3	3.75	18.5	3.14	pelagic
Ageneiosus_pardalis	13.620667	27.27425	3.85	9.165	3.14	pelagic
Ageneiosus_piperatus	4.8	28.4	3.28	3.7	3.04	pelagic
Ageneiosus_polystictus	45	7.4	3.86	26.5	3.14	pelagic
Ageneiosus_ucayalensis	29	8.8	3.66	20.3	3.14	pelagic
Ageneiosus_uranophthalmus	2.6813	161.6	3.72	0.9	3.04	demersal
Ageneiosus_vittatus	22	11.4	3.67	14.1	3.04	pelagic
Agoniates_anchovia	14.8	31.8	2.93	9.9	3.04	benpel
Agoniates_halecinus	21.5	25.3	2.91	13.8	3.04	benpel
Aguarunichthys_inpai	42	16.9	4.08	24.9	3.11	benpel
Aguarunichthys_tocantinsensis	31.7	20.1	3.98	19.4	3.11	benpel
Amaralia_hypsiura	13.3	52.4	3.17	9	3.12	demersal
Amazonspinther_dalmata	2	105.7	2.89	1.7	3.09	benpel
Amblydoras_affinis	10	62.1	2.84	7	3.04	demersal
Amblydoras_monitor	9	48.7	2.85	6.4	3.04	demersal
Amblydoras_nauticus	8.964443	44.434683	2.87	6.329011	3.04	demersal
Ammocryptocharax_elegans	3.3	36.1	3.25	2.6	3.1	benpel
Ammocryptocharax_minutus	2	48	3.07	1.7	3.1	benpel
Ammocryptocharax_vintonae	11.769055	31.655792	3.62	8.109002	3.04	benpel
Ammoglanis_diaphanus	1.9	50.9	3.2	1.6	3.12	demersal
Ammoglanis_pulex	10.30215	27.764167	2.99	7.399167	3.12	benpel
Anadoras_grypus	9.452617	39.58665	2.83	6.724611	3.04	demersal
Anadoras_regani	11	43.2	2.84	7.6	3.04	demersal
Anadoras_weddellii	15	48.7	2.81	10	3.03	demersal
Ancistrus_abilhoai	10.6	38.8	2.13	7.4	3.1	benpel
Ancistrus_agostinhoi	9.6	41.1	2.18	6.8	3.1	benpel
Ancistrus_aguaboensis	6.7	23.2	2.35	4.9	3.1	demersal
Ancistrus_brevipinnis	8	20.5	2.27	5.8	3.1	demersal
Ancistrus_cirrhosus	8.9	49	2	6.3	3.1	demersal
Ancistrus_claro	6.6	51.6	2.35	4.9	3.1	demersal
Ancistrus_cryptophthalmus	6	54.5	2.4	4.5	3.1	benpel
Ancistrus_cuiabae	11.5	37.1	2.1	7.9	3.04	demersal
Ancistrus_damasceni	6.5	52.1	2.36	4.8	3.1	demersal
Ancistrus_dolichopterus	11.8	16.5	2.09	8.1	3.1	demersal
Ancistrus_dubius	12.6	35	2.06	8.6	3.04	demersal
Ancistrus_formoso	7.9	46.2	2.27	5.7	3.1	benpel
Ancistrus_hoplogenys	15.8	34.7	2	10.5	3.1	demersal
Ancistrus_jataiensis	5.4	26.5	2.45	4.1	3.1	demersal
Ancistrus_karajas	16.34214	26.204283	3.117104	11.442567	3.06196	benpel
Ancistrus_krenakarore	16.34214	26.204283	3.117104	11.442567	3.06196	benpel
Ancistrus_lithurgicus	13.2	15.5	2.03	8.9	3.04	demersal
Ancistrus_macrophthalmus	10.951167	35.396473	2.27	7.609083	3.1	demersal
Ancistrus_maximus	16.34214	26.204283	3.117104	11.442567	3.06196	benpel
Ancistrus_minutus	5.7	25.7	2.42	4.2	3.1	demersal
Ancistrus_mullerae	12.5	35.2	2.06	8.5	3.1	benpel
Ancistrus_multispinis	14.2	14.8	2	9.6	3.1	demersal
Ancistrus_parecis	5.9	55	2.4	4.4	3.1	demersal
